"Data e Hora","Chuva (mm) - Último","Chuva (mm) - 1h","Chuva (mm) - 4h","Chuva (mm) - 24h","Chuva (mm) - 96h","Chuva (mm) - 30d","Nível do rio (m) - Último"
"31/10/2024 21:30","0.0","0.0","0.0","0.0","34.8","43.2","1.52"
"31/10/2024 21:15","0.0","0.0","0.0","0.0","34.8","43.2","1.55"
"31/10/2024 21:00","0.0","0.0","0.0","0.0","34.8","43.2","1.58"
"31/10/2024 20:45","0.0","0.0","0.0","0.0","34.8","43.2","1.60"
"31/10/2024 20:30","Dado Nulo","0.0","0.0","0.0","34.8","43.2","Dado Nulo"
"31/10/2024 20:15","0.0","0.0","0.0","0.0","34.8","43.2","1.60"
"31/10/2024 20:00","0.0","0.0","0.0","0.0","34.8","43.2","1.60"
"31/10/2024 19:45","0.0","0.0","0.0","0.0","34.8","43.2","1.59"
"31/10/2024 19:30","0.0","0.0","0.0","0.0","34.8","43.2","1.59"
"31/10/2024 19:15","Dado Nulo","0.0","0.0","0.0","34.8","43.2","Dado Nulo"
"31/10/2024 19:00","0.0","0.0","0.0","0.0","34.8","43.2","1.58"
"31/10/2024 18:45","0.0","0.0","0.0","0.0","34.8","43.2","1.58"
"31/10/2024 18:30","0.0","0.0","0.0","0.0","34.8","43.2","1.57"
"31/10/2024 18:15","0.0","0.0","0.0","0.0","34.8","43.2","1.57"
"31/10/2024 18:00","0.0","0.0","0.0","0.0","34.8","43.2","1.56"
"31/10/2024 17:45","Dado Nulo","0.0","0.0","0.0","34.8","43.2","Dado Nulo"
"31/10/2024 17:30","0.0","0.0","0.0","0.0","34.8","43.2","1.54"
"31/10/2024 17:15","0.0","0.0","0.0","0.0","34.8","43.2","1.52"
"31/10/2024 17:00","0.0","0.0","0.0","0.0","34.8","43.2","1.51"
"31/10/2024 16:45","0.0","0.0","0.0","0.0","34.8","43.2","1.49"
"31/10/2024 16:30","0.0","0.0","0.0","0.0","34.8","43.2","1.47"
"31/10/2024 16:15","0.0","0.0","0.0","0.0","34.8","43.2","1.45"
"31/10/2024 16:00","0.0","0.0","0.0","0.0","34.8","43.2","1.44"
"31/10/2024 15:45","0.0","0.0","0.0","0.0","34.8","43.2","1.43"
"31/10/2024 15:30","0.0","0.0","0.0","0.0","34.8","43.2","1.44"
"31/10/2024 15:15","Dado Nulo","0.0","0.0","0.0","34.8","43.2","Dado Nulo"
"31/10/2024 15:00","Dado Nulo","0.0","0.0","0.0","34.8","43.2","Dado Nulo"
"31/10/2024 14:45","0.0","0.0","0.0","0.0","34.8","43.2","1.53"
"31/10/2024 14:30","0.0","0.0","0.0","0.0","34.8","43.2","1.57"
"31/10/2024 14:15","0.0","0.0","0.0","0.0","34.8","43.2","1.60"
"31/10/2024 14:00","0.0","0.0","0.0","0.0","34.8","43.2","1.61"
"31/10/2024 13:45","0.0","0.0","0.0","0.0","34.8","43.2","1.61"
"31/10/2024 13:30","Dado Nulo","0.0","0.0","0.0","34.8","43.2","Dado Nulo"
"31/10/2024 13:15","Dado Nulo","0.0","0.0","0.0","34.8","43.2","Dado Nulo"
"31/10/2024 13:00","0.0","0.0","0.0","0.0","34.8","43.2","1.58"
"31/10/2024 12:45","0.0","0.0","0.0","0.0","34.8","43.2","1.57"
"31/10/2024 12:30","0.0","0.0","0.0","0.0","34.8","43.2","1.57"
"31/10/2024 12:15","0.0","0.0","0.0","0.0","34.8","43.2","1.58"
"31/10/2024 12:00","0.0","0.0","0.0","0.0","34.8","43.2","1.59"
"31/10/2024 11:45","0.0","0.0","0.0","0.0","34.8","43.2","1.61"
"31/10/2024 11:30","0.0","0.0","0.0","0.2","34.8","43.2","1.63"
"31/10/2024 11:15","0.0","0.0","0.0","0.2","34.8","43.2","1.64"
"31/10/2024 11:00","0.0","0.0","0.0","0.2","34.8","43.2","1.65"
"31/10/2024 10:45","0.0","0.0","0.0","0.2","34.8","43.2","1.64"
"31/10/2024 10:30","0.0","0.0","0.0","0.2","34.8","43.2","1.63"
"31/10/2024 10:15","0.0","0.0","0.0","0.4","34.8","43.2","1.62"
"31/10/2024 10:00","Dado Nulo","0.0","0.0","0.4","34.8","43.2","Dado Nulo"
"31/10/2024 09:45","0.0","0.0","0.0","0.4","34.8","43.2","1.58"
"31/10/2024 09:30","0.0","0.0","0.0","0.4","34.8","43.2","1.56"
"31/10/2024 09:15","0.0","0.0","0.0","0.4","34.8","43.2","1.54"
"31/10/2024 09:00","0.0","0.0","0.0","0.4","34.8","43.2","1.53"
"31/10/2024 08:45","0.0","0.0","0.0","0.4","34.8","43.2","1.51"
"31/10/2024 08:30","0.0","0.0","0.0","0.4","34.8","43.2","1.51"
"31/10/2024 08:15","0.0","0.0","0.0","0.4","34.8","43.2","1.51"
"31/10/2024 08:00","Dado Nulo","0.0","0.0","0.4","34.8","43.2","Dado Nulo"
"31/10/2024 07:45","Dado Nulo","0.0","0.0","0.4","34.8","43.2","Dado Nulo"
